"id","created","updated","repository","publisher","journal","title","dataset","publication","publishedDate","source","affiliations","funders","subjects"
"751b7be6-a7c9-456c-ae77-ffabbbae6aaa",2023-06-08 04:59:07.148 +0200,2023-06-08 04:59:07.148 +0200,"{""title"" : ""4TU.ResearchData"", ""external_id"" : null}","{""title"" : ""Trans Tech Publications, Ltd."", ""external_id"" : null}","{""title"" : ""Key Engineering Materials"", ""external_id"" : null}",Supplementary data for the conference paper: On the effect of release agent and heating time on tool-ply friction of thermoplastic composite in melt,https://doi.org/10.4121/20750659,https://doi.org/10.4028/p-e6m2a7,2022-07-22 02:00:00.000 +0200,datacite,"[]","[{""title"" : ""unknown"", ""external_id"" : null}]","[""materials engineering"", ""mechanical engineering""]"
"75fdd168-d0c4-4d2b-9c6d-fa65242f949e",2023-06-08 05:19:21.049 +0200,2023-06-08 05:19:21.049 +0200,"{""title"" : ""PANGAEA"", ""external_id"" : null}","{""title"" : ""National Documentation Centre (EKT)"", ""external_id"" : null}","{""title"" : ""Mediterranean Marine Science"", ""external_id"" : null}",Sea urchin response to rising pCO2 shows ocean acidification may fundamentally alter the chemistry of marine skeletons,https://doi.org/10.1594/pangaea.834210,https://doi.org/10.12681/mms.579,2014-04-25 02:00:00.000 +0200,datacite,"[]","[{""title"" : ""Seventh Framework Programme"", ""external_id"" : ""https://doi.org/10.13039/100011102""}]","[""environmental engineering""]"
"76a139fb-f84b-45e0-854d-d08cf9eae8cf",2024-07-25 06:44:13.441 +0200,2024-07-25 06:44:13.441 +0200,"{""title"" : ""Centro de Estudios Andaluces"", ""external_id"" : null}","{""title"" : ""Fundacion Centro de Estudios Andaluces"", ""external_id"" : null}","{""title"" : ""Barómetro Andaluz: Estudio de Opinión Pública de Andalucía"", ""external_id"" : null}",Barómetro Andaluz de Diciembre 2023,https://doi.org/10.5281/zenodo.10727351,https://doi.org/10.54790/barometro.202312,,datacite,"[]","[{""title"" : ""Fundación Centro de Estudios Andaluces"", ""external_id"" : ""10.13039/100019858""}]","[""social sciences""]"
"7814b35e-76eb-4945-bbe0-571d4319e767",2024-07-24 19:17:33.689 +0200,2024-07-24 19:17:33.689 +0200,"{""title"" : ""4TU.ResearchData"", ""external_id"" : null}","{""title"" : ""AIP Publishing"", ""external_id"" : null}","{""title"" : ""Applied Physics Letters"", ""external_id"" : null}",Raw data for the paper: Incompressible Squeeze-Film Levitation,https://doi.org/10.4121/21523890,https://doi.org/10.1063/5.0149501,2023-06-12 02:00:00.000 +0200,datacite,"[]","[{""title"" : ""unknown"", ""external_id"" : null}]","[""physical sciences""]"
"78ce32d6-e10e-48da-92f3-818e9722d9a7",2023-06-06 17:41:05.491 +0200,2023-06-06 17:41:05.491 +0200,"{""title"" : ""TUHH Universitätsbibliothek"", ""external_id"" : null}","{""title"" : ""Wiley"", ""external_id"" : null}","{""title"" : ""Advanced Materials"", ""external_id"" : null}",Wafer‐Scale Electroactive Nanoporous Silicon: Large and Fully Reversible Electrochemo‐Mechanical Actuation in Aqueous Electrolytes,https://doi.org/10.15480/336.3790,https://doi.org/10.1002/adma.202105923,2021-10-22 02:00:00.000 +0200,datacite,"[]","[{""title"" : ""Deutsche Forschungsgemeinschaft (DFG)"", ""external_id"" : null}, {""title"" : ""European Commission"", ""external_id"" : ""https://doi.org/10.13039/100010661""}]","[""mechanical engineering""]"
